Latitude,Longitude,Title,Description
46.9782721,7.046957,"Canal de la Broye (CH-VD)","Greylag Goose, Egyptian Goose, Mallard, Great Crested Grebe, Great Cormorant, Grey Heron, Red Kite, Black Kite, Eurasian Coot, Yellow-legged Gull, Common Kestrel, Common Magpie, Carrion Crow, Barn Swallow, Blue Tit, Great Tit, Eurasian Penduline-Tit, Short-toed Treecreeper, Common Chiffchaff, White/Pied Wagtail, Chaffinch, Goldfinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S22659134' target='_blank'>Checklist S22659134</a>"
41.9015344,8.8044047,"<a href='http://ebird.org/ebird/hotspot/L2073416' target='_blank'>Capitello--Étang de Casavone</a> (FR-H)","European Shag, Common Moorhen, Eurasian Coot, Black-headed Gull, Yellow-legged Gull, Common Kingfisher, Great Spotted Woodpecker, Hooded Crow, Barn Swallow, Great Tit, Cetti's Warbler, Eurasian Blackcap, Sardinian Warbler, Marmora's Warbler, Spotted Flycatcher, Goldfinch, Italian Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S24535487' target='_blank'>Checklist S24535487</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24535545' target='_blank'>Checklist S24535545</a>"
42.1346457,8.596361,"<a href='http://ebird.org/ebird/hotspot/L3715286' target='_blank'>Cargese</a> (FR-H)","European Shag, Common Buzzard, Audouin's Gull, Yellow-legged Gull, Feral Pigeon, Eurasian Collared-Dove, European Scops-Owl, Great Spotted Woodpecker, Eurasian Jay, Hooded Crow, Common Raven, crow/raven sp., Barn Swallow, Common House-Martin, Blue Tit, Great Tit, Long-tailed Tit, Firecrest, Eurasian Blackcap, Sardinian Warbler, Spotted Flycatcher, Robin, Blackbird, Cirl Bunting, Greenfinch, Goldfinch, Italian Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S24325981' target='_blank'>Checklist S24325981</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24334754' target='_blank'>Checklist S24334754</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24396817' target='_blank'>Checklist S24396817</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24446445' target='_blank'>Checklist S24446445</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24451819' target='_blank'>Checklist S24451819</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24535379' target='_blank'>Checklist S24535379</a>"
42.07588,8.74404,"Casaglione, D25 (FR-H)","European Scops-Owl, Eurasian Nightjar - <a href='http://ebird.org/ebird/view/checklist?subID=S24343536' target='_blank'>Checklist S24343536</a>"
46.9749741,7.042923,"Chablais de Cudrefin (CH-VD)","Greylag Goose, Mute Swan, swan sp., Gadwall, Eurasian Wigeon, Mallard, Northern Pintail, Eurasian/American Green-winged Teal, Common Pochard, Tufted Duck, Common Merganser, Red-breasted Merganser, Great Crested Grebe, Great Cormorant, Grey Heron, Great Egret, Eurasian Coot, Common Sandpiper, Black-headed Gull, Yellow-legged Gull, Common Kestrel, Rook, Carrion Crow, Marsh Tit, Blue Tit, Eurasian Nuthatch, Goldcrest, Blackbird, Starling, White/Pied Wagtail, Chaffinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S20974562' target='_blank'>Checklist S20974562</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S21301862' target='_blank'>Checklist S21301862</a>"
46.7847663,6.6667593,"Champ Pittet (CH-VD)","Mute Swan, Gadwall, Mallard, Red-crested Pochard, Common Pochard, Tufted Duck, Common Goldeneye, Common Merganser, Little Grebe, Great Crested Grebe, White Stork, Great Cormorant, Great Egret, Great White Egret (Eurasian), Eurasian Marsh-Harrier, Hen Harrier, Black Kite, Common Buzzard, Water Rail, Eurasian Coot, Black-headed Gull, Yellow-legged Gull, Common Wood-Pigeon, Eurasian Collared-Dove, Common Cuckoo, Common Kingfisher, Lesser Spotted Woodpecker, Great Spotted Woodpecker, Eurasian Green Woodpecker, Eurasian Jay, Carrion Crow, Barn Swallow, Common House-Martin, Marsh Tit, Marsh/Willow Tit, Blue Tit, Great Tit, Long-tailed Tit, Eurasian Nuthatch, Eurasian Treecreeper, treecreeper sp., Eurasian Wren, Goldcrest, Firecrest, kinglet sp., Common Chiffchaff, Eurasian Reed-Warbler, Great Reed-Warbler, Savi's Warbler, Eurasian Blackcap, Robin, Nightingale, Black Redstart, Blackbird, Mistle Thrush, Starling, Grey Wagtail, White/Pied Wagtail, Reed Bunting, Chaffinch, Greenfinch, Siskin, Goldfinch, Serin, House Sparrow, Tree Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S20804817' target='_blank'>Checklist S20804817</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S20974372' target='_blank'>Checklist S20974372</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S21612302' target='_blank'>Checklist S21612302</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S22655564' target='_blank'>Checklist S22655564</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S23796236' target='_blank'>Checklist S23796236</a>"
46.50156,6.41977,"Champs Corbes (CH-VD)","Common Shelduck, Mallard, Grey Heron, Eurasian Coot, Ruff, Common Wood-Pigeon, Eurasian Green Woodpecker, falcon sp., Common Magpie, Carrion Crow, Skylark, Barn Swallow, Blue Tit, Black Redstart, Wheatear, Starling, Yellowhammer, Greenfinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S23172546' target='_blank'>Checklist S23172546</a>"
46.7199382,6.5661764,"Chavornay gravel pits (CH-VD)","Mute Swan, Gadwall, Mallard, Northern Shoveler, Garganey, Eurasian/American Green-winged Teal, Eurasian Teal, dabbling duck sp., Red-crested Pochard, Ferruginous Duck, Tufted Duck, Common Merganser, Little Grebe, White Stork, Great Cormorant, Grey Heron, Purple Heron, Great Egret, Great White Egret (Eurasian), Little Egret, Red Kite, Black Kite, Common Buzzard, Common Moorhen, Eurasian Coot, Northern Lapwing, Black-headed Gull, Yellow-legged Gull, Common Wood-Pigeon, Eurasian Collared-Dove, Common Cuckoo, Common Kingfisher, Great Spotted Woodpecker, Common Kestrel, Eurasian Hobby, Common Magpie, Carrion Crow, Common Raven, Eurasian Crag-Martin, Barn Swallow, Common House-Martin, Marsh/Willow Tit, Blue Tit, Great Tit, Long-tailed Tit, Eurasian Nuthatch, Short-toed Treecreeper, Eurasian Wren, Common Chiffchaff, Eurasian Reed-Warbler, Great Reed-Warbler, Savi's Warbler, Eurasian Blackcap, Robin, Nightingale, Blackbird, Fieldfare, Song Thrush, Mistle Thrush, Starling, Dunnock, Grey Wagtail, White/Pied Wagtail, pipit sp., Yellowhammer, Reed Bunting, Chaffinch, Greenfinch, Goldfinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S20801845' target='_blank'>Checklist S20801845</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S20974068' target='_blank'>Checklist S20974068</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S22654549' target='_blank'>Checklist S22654549</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S23035436' target='_blank'>Checklist S23035436</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S23439311' target='_blank'>Checklist S23439311</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24277114' target='_blank'>Checklist S24277114</a>"
45.1700267,14.6063018,"Cizici (HR-08)","Eurasian Jay, Barn Swallow, Common House-Martin, Blue Tit, Great Tit, Long-tailed Tit, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S19626203' target='_blank'>Checklist S19626203</a>"
42.08724,8.72457,"Coggia (FR-H)","Common Buzzard, Yellow-legged Gull, Eurasian Collared-Dove, Great Spotted Woodpecker, Hooded Crow, Barn Swallow, Eurasian Blackcap, Sardinian Warbler, Spotted Flycatcher, Robin, Spotless Starling, Goldfinch - <a href='http://ebird.org/ebird/view/checklist?subID=S24343532' target='_blank'>Checklist S24343532</a>"
46.4501788,6.9759536,"Col de Jaman (CH-VD)","Golden Eagle, Eurasian Sparrowhawk, Red Kite, Common Buzzard, Common Kestrel, Eurasian Jay, Common Magpie, Eurasian Nutcracker, Alpine Chough, Carrion Crow, Common Raven, Barn Swallow, Coal Tit, Willow Tit, Crested Tit, Great Tit, Goldcrest, Common Chiffchaff, Redstart, Black Redstart, Ring Ouzel, Blackbird, Fieldfare, Song Thrush, Mistle Thrush, Grey Wagtail, Water Pipit, Chaffinch, Goldfinch, Linnet - <a href='http://ebird.org/ebird/view/checklist?subID=S19903293' target='_blank'>Checklist S19903293</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S19914624' target='_blank'>Checklist S19914624</a>"
42.36388,8.64837,"<a href='http://ebird.org/ebird/hotspot/L3802448' target='_blank'>Col de Palmarella (Bocca di Palmarella)</a> (FR-H)","Red-legged Partridge, Coal Tit, Firecrest, Eurasian Blackcap, Sardinian Warbler, Robin, Blackbird - <a href='http://ebird.org/ebird/view/checklist?subID=S24325457' target='_blank'>Checklist S24325457</a>"
42.2226455,8.8295351,"<a href='http://ebird.org/ebird/hotspot/L1794644' target='_blank'>Col de Sévi</a> (FR-H)","Red Kite, Alpine Swift, Great Spotted Woodpecker, Eurasian Jay, Common Raven, Common House-Martin, Blue Tit, Eurasian Blackcap, Sylvia sp., Spotted Flycatcher, Robin, Blackbird, Cirl Bunting, Greenfinch - <a href='http://ebird.org/ebird/view/checklist?subID=S24352866' target='_blank'>Checklist S24352866</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24396822' target='_blank'>Checklist S24396822</a>"
42.290342,8.8784552,"<a href='http://ebird.org/ebird/hotspot/L2073432' target='_blank'>Col de Vergio</a> (FR-H)","Common Buzzard, Common Wood-Pigeon, European Scops-Owl, Great Spotted Woodpecker, Eurasian Jay, Common Raven, Woodlark, Common House-Martin, Coal Tit, Great Tit, Corsican Nuthatch, Eurasian Wren, Eurasian Blackcap, Stonechat, Blackbird, Mistle Thrush, Cirl Bunting, Chaffinch, Siskin, Corsican Finch - <a href='http://ebird.org/ebird/view/checklist?subID=S24352875' target='_blank'>Checklist S24352875</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24352876' target='_blank'>Checklist S24352876</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24396870' target='_blank'>Checklist S24396870</a>"
