Latitude,Longitude,Title,Description
46.7997657,-71.2178421,"<a href='http://ebird.org/ebird/hotspot/L663123' target='_blank'>Plaines d'Abraham</a> (CA-QC-Québec)","Cooper's Hawk, American Crow, Black-capped Chickadee, White-breasted Nuthatch, House Finch, Pine Siskin, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S22213716' target='_blank'>Checklist S22213716</a>"
46.839088,-71.196084,"<a href='http://ebird.org/ebird/hotspot/L2036586' target='_blank'>Pointe de Maizerets</a> (CA-QC-Québec)","Feral Pigeon, American Crow, Snow Bunting - <a href='http://ebird.org/ebird/view/checklist?subID=S22107426' target='_blank'>Checklist S22107426</a>"
48.625307,-64.167881,"<a href='http://ebird.org/ebird/hotspot/L956535' target='_blank'>Pointe-St-Pierre</a> (CA-QC-Le Rocher-Percé)","Common Eider, Long-tailed Duck, Common Goldeneye, Great Black-backed Gull - <a href='http://ebird.org/ebird/view/checklist?subID=S22374163' target='_blank'>Checklist S22374163</a>"
48.3774433,-68.7269711,"<a href='http://ebird.org/ebird/hotspot/L3044878' target='_blank'>Pointe-aux-Anglais</a> (CA-QC-Rimouski-Neigette)","Common Goldeneye, Red-breasted Merganser, Black Guillemot, Herring Gull, Glaucous Gull, American Crow, Common Raven, Pine Siskin - <a href='http://ebird.org/ebird/view/checklist?subID=S22352690' target='_blank'>Checklist S22352690</a>"
47.5500869,-68.6371708,"Pont Degelis (CA-QC-Témiscouata)","Mallard, Hooded Merganser, Common Merganser, Feral Pigeon, American Crow, Black-capped Chickadee, Red-breasted Nuthatch, Starling, Purple Finch, Pine Siskin, American Goldfinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S22389182' target='_blank'>Checklist S22389182</a>"
47.8476116,-69.5693779,"<a href='http://ebird.org/ebird/hotspot/L764877' target='_blank'>Quai traversier, Rivière-du-Loup</a> (CA-QC-Rivière-du-Loup)","Herring Gull, Glaucous Gull, Great Black-backed Gull, American Crow, Common Raven - <a href='http://ebird.org/ebird/view/checklist?subID=S22336804' target='_blank'>Checklist S22336804</a>"
48.1007825,-65.6855071,"<a href='http://ebird.org/ebird/hotspot/L1024431' target='_blank'>Quai, Caplan</a> (CA-QC-Bonaventure)","Barrow's Goldeneye, Red-breasted Merganser, Herring Gull, Great Black-backed Gull, Feral Pigeon - <a href='http://ebird.org/ebird/view/checklist?subID=S22374599' target='_blank'>Checklist S22374599</a>"
48.5210957,-64.2124057,"<a href='http://ebird.org/ebird/hotspot/L2910706' target='_blank'>Quai, Percé</a> (CA-QC-Le Rocher-Percé)","Common Eider, Red-breasted Merganser, Great Cormorant, Herring Gull, Great Black-backed Gull - <a href='http://ebird.org/ebird/view/checklist?subID=S22374204' target='_blank'>Checklist S22374204</a>"
48.5188557,-68.4732342,"<a href='http://ebird.org/ebird/hotspot/L2751569' target='_blank'>Quai, Pointe-au-Père</a> (CA-QC-Rimouski-Neigette)","Common Eider, Barrow's Goldeneye, Herring Gull, Glaucous Gull, Great Black-backed Gull, Starling - <a href='http://ebird.org/ebird/view/checklist?subID=S22352411' target='_blank'>Checklist S22352411</a>"
48.1334638,-69.1854572,"<a href='http://ebird.org/ebird/hotspot/L2530201' target='_blank'>Quai, Trois-Pistoles</a> (CA-QC-Les Basques)","Herring Gull, Great Black-backed Gull, American Crow, Common Raven, Starling - <a href='http://ebird.org/ebird/view/checklist?subID=S22335774' target='_blank'>Checklist S22335774</a>"
48.0464148,-65.4686666,"Route St Georges (CA-QC-Bonaventure)","American Crow, Pine Grosbeak, Pine Siskin - <a href='http://ebird.org/ebird/view/checklist?subID=S22374589' target='_blank'>Checklist S22374589</a>"
48.4206,-64.3189001,"<a href='http://ebird.org/ebird/hotspot/L2467051' target='_blank'>Rte du Phare, Percé (Cap-d'Espoir)</a> (CA-QC-Le Rocher-Percé)","Common Eider, Common Goldeneye, Barrow's Goldeneye, Great Black-backed Gull, American Crow - <a href='http://ebird.org/ebird/view/checklist?subID=S22374227' target='_blank'>Checklist S22374227</a>"
46.9130533,-71.3673538,"<a href='http://ebird.org/ebird/hotspot/L3354343' target='_blank'>Sentier des Rivières, Lac St-Charles</a> (CA-QC-Québec)","Mallard, Mourning Dove, Barred Owl, American Three-toed Woodpecker, Black-capped Chickadee, Starling, Pine Siskin - <a href='http://ebird.org/ebird/view/checklist?subID=S22133939' target='_blank'>Checklist S22133939</a>"
48.4431235,-68.5590649,"<a href='http://ebird.org/ebird/hotspot/L1299737' target='_blank'>Sentier du littoral</a> (CA-QC-Rimouski-Neigette)","Glaucous Gull, Mourning Dove, Downy Woodpecker, Hairy Woodpecker, American Crow, Common Raven, Black-capped Chickadee, Red-breasted Nuthatch, Purple Finch, Common Redpoll, Pine Siskin - <a href='http://ebird.org/ebird/view/checklist?subID=S22352450' target='_blank'>Checklist S22352450</a>"
48.8557928,-64.2021704,"<a href='http://ebird.org/ebird/hotspot/L2982509' target='_blank'>Site historique du Phare de Cap-des-Rosiers</a> (CA-QC-La Côte-de-Gaspé)","Common Eider, Long-tailed Duck, Common Goldeneye, Barrow's Goldeneye, Red-breasted Merganser, Great Cormorant, Herring Gull, Great Black-backed Gull, American Crow - <a href='http://ebird.org/ebird/view/checklist?subID=S22373732' target='_blank'>Checklist S22373732</a>"
48.4164986,-64.3887877,"St Therese de gaspe (CA-QC-Le Rocher-Percé)","Common Eider, Common Goldeneye, Barrow's Goldeneye, Great Cormorant, Great Black-backed Gull, American Crow - <a href='http://ebird.org/ebird/view/checklist?subID=S22374505' target='_blank'>Checklist S22374505</a>"
48.5486948,-68.386534,"<a href='http://ebird.org/ebird/hotspot/L2300565' target='_blank'>Ste-Luce</a> (CA-QC-La Mitis)","Pine Grosbeak, Common Redpoll, Pine Siskin, American Goldfinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S22352381' target='_blank'>Checklist S22352381</a>"
47.8561071,-69.5501947,"near riviere du loup (CA-QC-Rivière-du-Loup)","Waxwing - <a href='http://ebird.org/ebird/view/checklist?subID=S22336824' target='_blank'>Checklist S22336824</a>"
