Latitude,Longitude,Titre,Description
48.5210957,-64.2124057,<a href="http://ebird.org/ebird/hotspot/L2910706">Quai, Percé</a> (CA-QC-Le Rocher-Percé),"Common Eider, Red-breasted Merganser, Great Cormorant, Herring Gull, Great Black-backed Gull"
48.5188557,-68.4732342,<a href="http://ebird.org/ebird/hotspot/L2751569">Quai, Pointe-au-Père</a> (CA-QC-Rimouski-Neigette),"Common Eider, Barrow's Goldeneye, Herring Gull, Glaucous Gull, Great Black-backed Gull, Starling"
48.1334638,-69.1854572,<a href="http://ebird.org/ebird/hotspot/L2530201">Quai, Trois-Pistoles</a> (CA-QC-Les Basques),"Herring Gull, Great Black-backed Gull, American Crow, Common Raven, Starling"
48.0464148,-65.4686666,<a href="http://ebird.org/ebird/hotspot/">Route St Georges</a> (CA-QC-Bonaventure),"American Crow, Pine Grosbeak, Pine Siskin"
48.4206,-64.3189001,<a href="http://ebird.org/ebird/hotspot/L2467051">Rte du Phare, Percé (Cap-d'Espoir)</a> (CA-QC-Le Rocher-Percé),"Common Eider, Common Goldeneye, Barrow's Goldeneye, Great Black-backed Gull, American Crow"
46.9130533,-71.3673538,<a href="http://ebird.org/ebird/hotspot/L3354343">Sentier des Rivières, Lac St-Charles</a> (CA-QC-Québec),"Mallard, Mourning Dove, Barred Owl, American Three-toed Woodpecker, Black-capped Chickadee, Starling, Pine Siskin"
48.4431235,-68.5590649,<a href="http://ebird.org/ebird/hotspot/L1299737">Sentier du littoral</a> (CA-QC-Rimouski-Neigette),"Glaucous Gull, Mourning Dove, Downy Woodpecker, Hairy Woodpecker, American Crow, Common Raven, Black-capped Chickadee, Red-breasted Nuthatch, Purple Finch, Common Redpoll, Pine Siskin"
48.8557928,-64.2021704,<a href="http://ebird.org/ebird/hotspot/L2982509">Site historique du Phare de Cap-des-Rosiers</a> (CA-QC-La Côte-de-Gaspé),"Common Eider, Long-tailed Duck, Common Goldeneye, Barrow's Goldeneye, Red-breasted Merganser, Great Cormorant, Herring Gull, Great Black-backed Gull, American Crow"
48.4164986,-64.3887877,<a href="http://ebird.org/ebird/hotspot/">St Therese de gaspe</a> (CA-QC-Le Rocher-Percé),"Common Eider, Common Goldeneye, Barrow's Goldeneye, Great Cormorant, Great Black-backed Gull, American Crow"
48.5486948,-68.386534,<a href="http://ebird.org/ebird/hotspot/L2300565">Ste-Luce</a> (CA-QC-La Mitis),"Pine Grosbeak, Common Redpoll, Pine Siskin, American Goldfinch, House Sparrow"
47.8561071,-69.5501947,<a href="http://ebird.org/ebird/hotspot/">near riviere du loup</a> (CA-QC-Rivière-du-Loup),"Waxwing"
