Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S21393605,Fulvous Whistling-Duck,Dendrocygna bicolor,217,1,CH-GE,,Geneva waterfront,46.2102417,6.1546,01-18-2015,11:20 AM,eBird - Stationary Count,45,1,,,3,,"<img src=""http://media.biolovision.net/www.ornitho.ch/2015-01/11346-8978976-3547.jpg"" />",avec Josué en visite sur lausanne-Bellegarde
S19304900,Greylag Goose,Anser anser,248,X,GB-ENG,Cumbria,Lake District National Park,54.515402,-3.1566811,03-24-2014,12:00 AM,eBird - Traveling Count,1440,1,98,,1,,,voyage de classe avec Imperial en hydrologie
S19331202,Greylag Goose,Anser anser,248,X,GB-ENG,Kent,Dungeness RSPB Reserve,50.9309436,.9394598,07-23-2014,09:00 AM,eBird - Stationary Count,120,1,,,1
S19304829,Greylag Goose,Anser anser,248,X,GB-ENG,Oxfordshire,Oxford University Parks,51.7611999,-1.2523556,03-24-2014,11:00 AM,eBird - Casual Observation,0,1,,,1
S22052178,Greylag Goose,Anser anser,248,70,IS-1,,Bakkatjörn,64.15576,-22.01622,02-19-2015,04:24 PM,eBird - Stationary Count,10,1,,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S20974562,Greylag Goose,Anser anser,248,X,CH-VD,,Chablais de Cudrefin,46.9749741,7.042923,12-20-2014,03:15 PM,eBird - Traveling Count,60,1,5,,3,,,Avec Améline & Raphaël sur la route d'Alsace !
S21301862,Greylag Goose,Anser anser,248,X,CH-VD,,Chablais de Cudrefin,46.9749741,7.042923,01-11-2015,01:00 PM,eBird - Traveling Count,60,1,2,,2
S20278401,Greylag Goose,Anser anser,248,X,CH-BE,,Fanel Nature Reserve,46.9814821,7.0422792,10-18-2014,04:00 PM,eBird - Traveling Count,120,1,3,,2
S19746102,Greylag Goose,Anser anser,248,X,IT-36,,"Foce dell'Isonzo e Isola della Cona, Riserva Naturale",45.7554093,13.4990644,09-01-2014,12:00 PM,eBird - Traveling Count,240,1,4,,2
S19611085,Greylag Goose,Anser anser,248,20,CH-SZ,,Frauwinkel,47.2070603,8.7890625,08-28-2014,06:50 PM,eBird - Casual Observation,0,1,,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S22051283,Greylag Goose,Anser anser,248,50,IS-1,,Hafnarfjörður--Lækur,64.0675644,-21.9472718,02-19-2015,01:00 PM,eBird - Stationary Count,10,1,,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S22051296,Greylag Goose,Anser anser,248,4,IS-1,,Hafnarfjörður--höfnin (main harbour),64.0658741,-21.9616699,02-19-2015,02:16 PM,eBird - Stationary Count,20,1,,,2,,in flight,Submitted from  BirdLog Euro for Android v1.9.6
S22051887,Greylag Goose,Anser anser,248,2,IS-8,,Heimaey--Herjólfsdalur,63.4395351,-20.2968121,02-24-2015,11:34 AM,eBird - Traveling Count,30,1,1,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S20023275,Greylag Goose,Anser anser,248,X,FR-V,,LPO Migrant Bird Count,46.1171455,5.91492,10-02-2014,04:00 PM,eBird - Stationary Count,120,1,,,6
S20023278,Greylag Goose,Anser anser,248,X,FR-V,,LPO Migrant Bird Count,46.1171455,5.91492,10-03-2014,02:00 PM,eBird - Stationary Count,120,1,,,4
S20911143,Greylag Goose,Anser anser,248,X,FR-A,,Michelbach--Lac de Michelbach,47.7579852,7.1207285,12-14-2014,04:00 PM,eBird - Stationary Count,60,1,,,2
S22051263,Greylag Goose,Anser anser,248,20,IS-2,,Njarðvík--bay,63.9775613,-22.5370789,02-19-2015,01:00 PM,eBird - Stationary Count,20,1,,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S19891464,Greylag Goose,Anser anser,248,X,FR-A,,RNN de la Petite Camargue Alsacienne (RNN60),47.6215539,7.5389814,09-20-2014,03:30 PM,eBird - Traveling Count,150,1,5,,3,,,Avec Améline & Raphaël
S19746232,Greylag Goose,Anser anser,248,X,IT-36,,Riserva Naturale della Valle Cavanata,45.7182856,13.4744847,09-02-2014,10:00 AM,eBird - Traveling Count,180,1,2,,2
S21393605,Greylag Goose (Domestic type),Anser anser (Domestic type),251,2,CH-GE,,Geneva waterfront,46.2102417,6.1546,01-18-2015,11:20 AM,eBird - Stationary Count,45,1,,,3,,,avec Josué en visite sur lausanne-Bellegarde
S21180350,Greylag Goose (Domestic type),Anser anser (Domestic type),251,X,CH-VD,,ïle aux Oiseaux,46.507195,6.5358567,01-04-2015,08:42 AM,eBird - Traveling Count,45,1,1,,3,,,Submitted from  BirdLog Euro for Android v1.9.6
S19746102,Bar-headed Goose,Anser indicus,252,X,IT-36,,"Foce dell'Isonzo e Isola della Cona, Riserva Naturale",45.7554093,13.4990644,09-01-2014,12:00 PM,eBird - Traveling Count,240,1,4,,2,,"<img src=""https://lh5.googleusercontent.com/-ufv6BxNjkFg/VAseXL6d3-I/AAAAAAAAFF0/ULFMs43Dwyg/w684-h454-no/DSC_0226.JPG"" />"
S19331135,Bar-headed Goose,Anser indicus,252,1,DE-BY,,Munich--Englischer Garten south section,48.1542225,11.5930223,07-02-2013,,eBird - Casual Observation,0,0,,,,,I guess they must be imported by human. There are other recording of this species in the Garden in Munchen
S21166752,Bar-headed Goose,Anser indicus,252,3,FR-A,,Village-Neuf--barrage de Kembs,47.615468,7.573676,01-03-2015,03:30 PM,eBird - Traveling Count,60,1,1,,3,,"probably escaped  <img src=""https://lh5.googleusercontent.com/lrowgE4aYOnv5FfpJ22iSVIBhOiQMAW0AyZXE6jVYHE&#61;w338-h224-p-no"" />",on the way to Lausanne
